x,y,z
95.58776831183263,65.27414386118915,a
104.09775225363724,48.70615832731471,a
140.59919567654995,89.2741513483519,a
102.99605032698712,137.93081094559682,a
54.90959019855924,120.61245423509678,a
84.01359311611797,57.39845735228107,a
120.06207121021212,78.99313244445915,a
147.32159294344495,98.31367128387126,a
95.17171756667435,102.76492923863646,a
162.2600174152936,126.95313661582924,a
118.3939429640188,94.11986053059815,a
107.8257865879034,145.38399860261416,a
119.30937665416006,114.11897439298735,a
115.90492520279788,67.07769855160586,a
180.78661617386928,131.44539319240653,a
100.332119495671,143.09651203540977,a
174.47053421985856,100.88826916285745,a
102.10369584237388,167.87714623592984,a
122.12881074752148,119.98356175909026,a
182.0396995097913,100.79416779224141,a
87.2539881083126,137.75110097983293,a
149.8376092811579,90.92717123493736,a
167.22928685100132,147.9479150682813,a
170.45340805941214,104.15065469893432,a
161.00699428354395,137.63624901803547,a
163.71314604806435,115.01040731073516,a
161.2999155182166,156.45937677867323,a
200.49175679961758,146.82761080055286,a
164.18535784638962,141.0991769918807,a
171.48749274225077,175.95352676923648,a
191.47720215267,123.99987005185659,a
158.28725886468726,209.01024254325267,a
193.24711374327904,168.66254362657423,a
141.58926438127992,121.92505567843045,a
177.78109766891993,140.64604724945383,a
201.26927513852496,179.9525980898589,a
196.70608470247367,154.1296916885268,a
161.3540879438338,158.3317949628032,a
199.84062743416132,157.93252968355296,a
189.53300484374566,195.42708682438672,a
179.4576605509164,174.71607216317244,a
207.32504009701523,197.83097574055984,a
197.01290161093834,233.5801458381021,a
236.0810217180936,216.07826957886897,a
224.31916905577836,231.64898317018657,a
251.66136232264643,180.61443021786948,a
226.10844983113643,234.68901726819496,a
249.1286133105616,242.28338338853274,a
245.8060473249136,198.14737830125932,a
214.5500444419335,217.38291561520737,a
211.62996776319378,258.78346343232965,a
232.4161956163339,196.4940853083259,a
285.92556024025185,194.50981552497421,a
246.10944287992743,253.16260432965396,a
254.0954598802088,225.21179896504805,a
276.41525419849506,257.62809882325837,a
243.7207694826654,237.57888930922883,a
247.64391635560023,257.95072228569086,a
265.50922577530673,281.95136521297746,a
265.7430105582539,211.8179928657168,a
271.1864313644168,292.3163389606982,a
285.1241864510797,271.48116530210297,a
237.21091138411415,256.1933998248025,a
335.5615910433965,294.1817704867178,a
303.0882193280412,300.6722633810767,a
259.0821916997926,296.13691541528226,a
306.8171327550328,308.51461859871165,a
350.13857747997025,271.76686163295136,a
341.6247235739496,260.66711991149316,a
349.95422810387316,284.11642320645984,a
312.899058827276,302.3596240411469,a
314.06759563609546,328.70300870785024,a
290.6579891432656,311.18211605173246,a
392.51690965629837,297.73455225982275,a
353.835927390695,312.50572800044426,a
361.29623432993696,294.90431040782596,a
343.46448334863874,320.53376367094756,a
374.08060384065834,351.80196130263437,a
341.62068923941104,322.86834506493653,a
395.75295208864526,325.7121517692955,a
432.7474037791371,330.94612935653606,a
405.8250269150335,348.73458472952314,a
409.36880544057806,327.36621958009437,a
379.8711544824751,287.2665656601279,a
435.9402508869224,326.41521231867387,a
401.69460169006794,283.5525540697281,a
372.508499397519,353.47822638808503,a
366.88603330215324,333.0596001078387,a
388.975720300163,369.31670654590533,a
466.6999088388344,383.5570880082681,a
450.4675203732502,347.17756205510216,a
454.33779581241043,398.2449389174585,a
431.48088268547053,386.59282512833875,a
471.4621243918291,387.33383305309724,a
422.27436428252867,352.85696959709475,a
468.0032678745822,323.21715959242556,a
472.29549888739297,354.18018065993056,a
479.5186576439135,352.8997223880532,a
461.44256889263795,385.256092786497,a
492.168260945356,381.9019161047154,a
466.88159867258065,445.74460910225616,a
495.8282292463667,430.6189722563915,a
499.58816600164994,424.65187163253154,a
455.88764188724826,387.6070135572945,a
474.27416958242355,379.26801604392193,a
445.5866750310852,365.0643833354097,a
476.96352162799536,422.49574984796135,a
430.66532798119545,402.5479187267062,a
468.2875791632103,438.9082428686277,a
453.3502526620659,399.04591463939454,a
440.52348875261,455.02137670990834,a
453.19257446462433,430.1757347945402,a
488.1914098821704,453.28054135580436,a
447.17713119672607,417.8901667463326,a
468.85956588895624,471.3895393297882,a
469.9567648649765,434.66853944223516,a
488.29403704599326,425.1803269040252,a
521.053041530252,480.0970768869045,a
510.5075919383572,364.49085019954146,a
493.18138613927533,426.2539489461401,a
539.464577927439,440.0129866089864,a
517.088113159895,424.52108864552986,a
547.7987750832899,386.50449359964136,a
542.0778027031973,390.39634051708464,a
544.115659791585,390.52954585493103,a
529.0636868223492,352.4224980135468,a
540.9185438095164,403.56453157418184,a
571.5154480500505,364.3940156058353,a
540.0534370059933,305.6532705745373,a
577.077158732025,345.5214674746819,a
582.1075275447037,330.06174894233095,a
615.3173097703726,352.5899143973677,a
530.141253345711,327.8357781378892,a
534.9851655001122,349.1167773363841,a
553.1056864326788,359.33273317173666,a
574.297322744086,339.4013830278469,a
560.1241905961368,333.15156310675684,a
571.1535258439598,295.1284077620645,a
595.8751746177034,353.76270256408895,a
580.1345945703229,286.9750131951937,a
581.5810817331308,341.15244212278606,a
623.4253148507819,288.82004229267733,a
568.3163156741223,306.5097689690491,a
529.5408516175253,333.8235671421344,a
594.7178905627497,297.7457153829529,a
581.8520737830796,335.45115322231953,a
498.68935832648964,306.6821619113924,a
597.6040443268259,350.25586515413386,a
598.0989791991226,328.1180713144405,a
603.130242008933,306.4552084630121,a
564.7816359604692,293.6648205590884,a
577.0655625819387,281.83679307350764,a
559.8678675525842,316.27829495301415,a
587.804368248819,305.632456089128,a
535.7982166708931,318.60092711906816,a
574.3917219426294,313.43018034908806,a
520.8314511016255,309.71536267240276,a
551.3228282271399,318.864826675431,a
508.8323161254793,283.938813226429,a
546.2348295199766,265.6436569267904,a
472.4725626052544,347.26563105657084,a
522.7429968031561,280.9089516541103,a
501.0640302845522,261.78160514512183,a
502.41558363648795,294.39232431155347,a
473.43440419254154,311.3813901525628,a
466.5498833062195,294.64975183077047,a
478.2825752195956,302.27388473808605,a
491.40780269252065,291.3848955390937,a
459.5730532104259,283.32364181787864,a
482.06838157003295,292.0021311376355,a
424.1132750384189,305.08299067281246,a
453.4219947442921,284.12777897089654,a
438.2755410802588,303.8245550343811,a
444.95621727156333,267.9936188062219,a
450.55375949513166,286.8562400074526,a
